v_5p_del,v_gene,count
205,IGHV4-4*07,9
206,IGHV4-59*10,9
200,IGHV4-34*13,1
208,IGHV3-64*04,12
203,IGHV3-64*04,4
254,IGHV3-9*02,1
200,IGHV3-NL1*01,59
243,IGHV3-15*07,1
137,IGHV4-59*09,3
191,IGHV2-70*12,1
206,IGHV1-3*02,2
200,IGHV3-35*01,1
236,IGHV1/OR15-1*04,1
208,IGHV4-b*02,5
215,IGHV1-2*03,12
212,IGHV3-49*05,1
134,IGHV4-61*06,3
176,IGHV4-61*06,1
239,IGHV1-3*01,11
242,IGHV3-72*01,4
212,IGHV1-8*91,12
206,IGHV1-2*03,9
200,IGHV3-20*01,1
221,IGHV7-4-1*91,4
245,IGHV3-71*02,2
182,IGHV3-h*01,1
185,IGHV3-h*02,4
197,IGHV3-53*02,6
200,IGHV3-9*91,2
245,IGHV3-64*91,2
230,IGHV5-51*04,1
242,IGHV4-61*08,5
218,IGHV1-58*02,1
206,IGHV5-51*02,21
236,IGHV3-43*91,2
188,IGHV1-69*05,1
226,IGHV5-51*02,1
233,IGHV3-74*03,3
203,IGHV1-3*01,1
206,IGHV1-8*02,1
236,IGHV1-46*03,1
239,IGHV1/OR15-2*03,4
212,IGHV3-23*03,1
233,IGHV4-61*03,1
164,IGHV4-61*06,9
221,IGHV3-7*03,2
221,IGHV3-33*06,11
211,IGHV3-23*04,1
239,IGHV3-74*03,41
237,IGHV3-23*04,3
221,IGHV5-51*03,2
242,IGHV3-15*07,3
237,IGHV3-33*06,1
208,IGHV3-NL1*01,23
143,IGHV4-59*09,1
215,IGHV1/OR15-3*02,2
233,IGHV3-9*02,4
203,IGHV3-d*01,6
217,IGHV3-53*01,2
236,IGHV3-72*01,6
212,IGHV4-39*06,4
218,IGHV3-53*04,5
233,IGHV3-48*02,2
167,IGHV4-30-4*06,8
220,IGHV3-53*91,2
215,IGHV1-24*01,2
211,IGHV1/OR15-2*03,1
233,IGHV3-19*01,1
221,IGHV1/OR15-9*01,1
245,IGHV3-49*05,23
230,IGHV4-34*11,11
237,IGHV3-9*02,1
220,IGHV3-23*04,5
188,IGHV1-69*13,8
239,IGHV1-18*03,2
206,IGHV3-53*01,5
209,IGHV3-74*03,10
200,IGHV4/OR15-8*02,1
209,IGHV1-3*01,6
230,IGHV3-33*06,5
209,IGHV3-33*06,10
134,IGHV4-34*13,2
215,IGHV3-74*03,4
179,IGHV1-69*13,5
236,IGHV3-15*07,2
211,IGHV4-61*03,5
209,IGHV1-69*05,19
245,IGHV1-2*03,1
206,IGHV1-f*01,8
209,IGHV1-46*02,2
185,IGHV1-f*01,1
235,IGHV4/OR15-8*03,1
206,IGHV4-b*02,7
164,IGHV4-34*13,2
165,IGHV4-30-4*06,1
206,IGHV3-72*01,1
221,IGHV3/OR16-14*01,1
211,IGHV4-39*02,1
218,IGHV3-73*02,6
236,IGHV1-58*02,1
212,IGHV1-69*13,41
239,IGHV3/OR16-9*01,2
200,IGHV3-20*91,9
208,IGHV3-33*05,2
188,IGHV3-30*19,1
203,IGHV3-h*02,7
224,IGHV5-51*02,3
248,IGHV4-61*02,10
200,IGHV3-30*15,6
140,IGHV4-61*06,4
212,IGHV4-61*02,14
208,IGHV1-3*01,5
209,IGHV4-59*08,1
137,IGHV4-34*13,3
203,IGHV1-69*13,2
234,IGHV3-h*02,1
209,IGHV3-7*03,5
208,IGHV3-23*04,34
230,IGHV3-h*02,56
221,IGHV1/OR15-1*04,2
237,IGHV3-30*15,1
206,IGHV3-30*15,1
163,IGHV4-61*07,1
206,IGHV1-18*01,53
239,IGHV3-48*02,19
125,IGHV4-59*09,2
221,IGHV1-46*02,10
206,IGHV2-5*09,1
234,IGHV3-53*01,1
206,IGHV4-4*07,5
208,IGHV3-33*02,1
221,IGHV1-f*01,2
203,IGHV3-33*02,1
209,IGHV1/OR15-9*01,1
242,IGHV3-73*02,9
233,IGHV1/OR15-3*02,2
233,IGHV4-b*02,6
149,IGHV4-30-4*06,1
230,IGHV1-46*02,1
218,IGHV4/OR15-8*02,1
230,IGHV4-59*10,9
212,IGHV4/OR15-8*02,11
208,IGHV3-23*03,7
206,IGHV3-11*01,2
236,IGHV4-30-2*03,1
197,IGHV3-53*04,1
184,IGHV3-h*01,1
221,IGHV3-15*07,1
233,IGHV4-55*09,2
137,IGHV4-30-4*06,24
248,IGHV4-39*02,2
221,IGHV1-2*04,7
203,IGHV3-20*91,1
233,IGHV3-66*04,1
214,IGHV3-73*02,2
236,IGHV1/OR15-3*02,3
205,IGHV3-53*03,1
212,IGHV1-2*04,1
218,IGHV1-69*13,1
209,IGHV4-61*02,9
239,IGHV5-51*02,53
209,IGHV3-9*02,32
227,IGHV3-33*02,1
205,IGHV3-53*01,2
236,IGHV1/OR15-2*03,5
200,IGHV3-11*04,20
215,IGHV6-1*02,1
200,IGHV3-66*01,1
221,IGHV3-20*91,1
209,IGHV1-69*13,25
191,IGHV4-39*01,1
236,IGHV4-39*02,2
200,IGHV3-64*04,34
206,IGHV3-66*03,4
206,IGHV4-61*08,2
209,IGHV5-51*02,2
209,IGHV3-48*01,2
221,IGHV3-64*02,1
206,IGHV4-59*91,1
239,IGHV2-5*10,1
209,IGHV3-64*91,2
245,IGHV3-15*07,40
242,IGHV3-h*02,1
254,IGHV1/OR15-3*02,1
134,IGHV4-59*09,3
208,IGHV3-30*15,4
134,IGHV4-30-4*06,65
188,IGHV1-2*05,1
164,IGHV4-59*09,1
199,IGHV4-34*09,1
211,IGHV4-30-2*91,4
236,IGHV3-49*05,13
230,IGHV3-43*91,12
167,IGHV4-61*06,2
221,IGHV4-61*02,3
215,IGHV1-3*01,23
203,IGHV3-43*91,1
209,IGHV4-b*02,1
159,IGHV4-34*13,1
203,IGHV1-46*02,4
215,IGHV3-53*03,1
218,IGHV3-53*02,5
133,IGHV4-34*13,7
239,IGHV3-64*02,3
137,IGHV4-61*07,9
136,IGHV4-4*91,1
203,IGHV3-7*03,1
227,IGHV3-73*02,1
215,IGHV3-NL1*01,6
236,IGHV3-53*04,2
239,IGHV3/OR16-8*02,14
236,IGHV3-64*04,28
214,IGHV1-69*13,1
230,IGHV3-53*01,5
236,IGHV4-61*08,59
230,IGHV3-66*04,1
206,IGHV1-69*05,17
224,IGHV2-70*13,1
208,IGHV3-11*01,2
203,IGHV3-33*05,4
188,IGHV1-2*03,13
236,IGHV3/OR16-8*02,1
242,IGHV4-30-2*03,1
221,IGHV1-8*91,2
191,IGHV3-49*05,1
218,IGHV1-8*91,1
218,IGHV1-18*01,1
221,IGHV1-3*01,1
209,IGHV3-23*03,49
206,IGHV1/OR15-9*01,1
233,IGHV4-30-2*91,1
227,IGHV3-49*05,29
215,IGHV5-a*04,2
206,IGHV3-h*01,34
239,IGHV3-72*01,5
209,IGHV3-h*02,1
185,IGHV3-h*01,9
221,IGHV3-33*05,13
221,IGHV3-9*02,2
188,IGHV5-51*03,1
206,IGHV7-4-1*91,2
194,IGHV3-h*01,1
203,IGHV7-4-1*91,3
220,IGHV3-33*06,2
206,IGHV1-58*02,1
275,IGHV3-h*02,1
245,IGHV3-71*01,114
212,IGHV1/OR15-2*03,6
254,IGHV4-61*02,1
179,IGHV4-34*13,2
239,IGHV1-2*04,1
233,IGHV3-33*02,18
236,IGHV3-30*15,2
236,IGHV3-74*03,2
230,IGHV3-NL1*01,2
209,IGHV1/OR15-4*01,1
206,IGHV3-66*04,2
200,IGHV3-64*91,2
212,IGHV3-71*03,1
185,IGHV3-11*04,1
164,IGHV4-61*07,29
133,IGHV4-59*09,5
152,IGHV4-30-4*06,1
224,IGHV4-61*03,1
206,IGHV4-55*01,1
212,IGHV1-18*01,34
236,IGHV3-NL1*01,42
218,IGHV4/OR15-8*03,13
209,IGHV4-39*01,1
194,IGHV3-49*05,2
236,IGHV3-66*03,3
239,IGHV1-24*01,1
227,IGHV3-72*01,2
215,IGHV3-23*04,5
220,IGHV5-a*02,2
209,IGHV6-1*02,1
133,IGHV4-30-4*06,17
138,IGHV4-30-4*06,1
208,IGHV5-a*04,1
236,IGHV3-71*03,2
239,IGHV2-70*12,1
218,IGHV3-64*04,1
212,IGHV3-73*02,4
233,IGHV2-5*91,1
220,IGHV3-30*13,1
239,IGHV5-a*04,10
217,IGHV3-66*03,1
206,IGHV3-23*04,2
206,IGHV1-46*02,20
233,IGHV3-16*02,1
200,IGHV3-h*01,3
227,IGHV4-59*10,1
248,IGHV4-61*08,11
239,IGHV4/OR15-8*03,2
208,IGHV1-69*05,2
212,IGHV1/OR15-3*03,1
212,IGHV4-61*08,16
206,IGHV3-9*02,3
208,IGHV1-69*10,4
208,IGHV5-51*03,13
208,IGHV3-15*07,1
206,IGHV3-49*05,2
209,IGHV5-78*01,2
257,IGHV4-4*01,1
208,IGHV3-48*02,1
200,IGHV3-23*02,10
218,IGHV3-66*04,1
200,IGHV3-48*02,8
236,IGHV4/OR15-8*03,8
220,IGHV1-18*01,2
236,IGHV3-53*01,1
212,IGHV1-3*01,15
239,IGHV3-23*04,149
212,IGHV2-26*01,1
221,IGHV3-64*91,3
200,IGHV4-59*10,1
202,IGHV1-24*01,1
212,IGHV5-51*03,3
194,IGHV3-15*07,1
200,IGHV3-33*03,6
227,IGHV3-h*02,26
230,IGHV3-33*02,15
209,IGHV3-33*02,1
131,IGHV4-34*13,7
230,IGHV3-23*04,12
205,IGHV4-59*10,2
215,IGHV3-53*01,1
215,IGHV1-46*02,1
236,IGHV4-59*10,4
184,IGHV3-9*02,2
239,IGHV3-64*04,164
155,IGHV4-59*09,1
239,IGHV1-8*91,47
203,IGHV3-53*03,2
221,IGHV3-53*91,1
251,IGHV3-15*07,1
230,IGHV3-7*03,7
237,IGHV4-30-2*91,1
203,IGHV4-59*91,2
215,IGHV3-15*07,1
221,IGHV3-23*04,177
239,IGHV3-43*02,6
218,IGHV1-NL1*91,2
200,IGHV1-3*01,1
200,IGHV5-51*02,1
206,IGHV1/OR15-1*04,2
221,IGHV3-30*13,2
230,IGHV4/OR15-8*03,1
188,IGHV3-7*03,1
221,IGHV1-18*01,13
245,IGHV3/OR15-7*05,1
149,IGHV4-34*13,1
203,IGHV3-11*01,3
197,IGHV3-h*02,221
239,IGHV1-58*02,2
215,IGHV4-61*08,10
208,IGHV3-20*91,2
215,IGHV3-71*01,7
233,IGHV3-53*01,3
254,IGHV3-23*04,2
227,IGHV3-66*03,5
223,IGHV2-5*01,1
206,IGHV3-11*04,2
220,IGHV3-64*04,6
227,IGHV3-53*04,1
176,IGHV4-34*13,3
197,IGHV3-53*01,26
206,IGHV4-59*03,1
208,IGHV3-19*01,1
209,IGHV3-9*91,2
197,IGHV3-66*01,4
206,IGHV5-51*03,6
239,IGHV3-15*07,7
224,IGHV1-69*13,1
221,IGHV1-2*03,1
212,IGHV4-b*02,1
233,IGHV3-66*01,4
233,IGHV3-13*04,1
247,IGHV2/OR16-5*01,1
208,IGHV4/OR15-8*03,5
233,IGHV3-7*03,25
236,IGHV1-3*01,2
