v_gene,d_gene,j_gene,cdr3_length,v_5p_del,v_3p_del,d_5p_del,d_3p_del,j_5p_del,j_3p_del,vd_insertion,dj_insertion,count
IGHV3-15*07,IGHD3-22*01,IGHJ4*02_F,57,227,0,10,0,1,0,7,2,1
IGHV1-8*91,IGHD3-10*01,IGHJ4*02_F,57,221,0,2,9,5,0,14,0,1
IGHV3-33*06,IGHD3-22*01,IGHJ6*02_F,75,239,0,2,4,5,0,10,2,1
IGHV3-7*03,IGHD1-14*01,IGHJ4*02_F,66,230,1,0,1,4,0,6,21,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ3*02_F,57,221,1,5,2,0,0,4,0,1
IGHV3-NL1*01,IGHD1-26*01,IGHJ6*03_F,57,221,2,2,3,5,0,0,6,1
IGHV3-64*04,IGHD6-19*01,IGHJ1*01_F,57,221,0,5,0,3,0,9,3,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ4*02_F,57,221,0,1,5,3,0,7,0,1
IGHV3-23*04,IGHD2-2*02,IGHJ3*02_F,57,221,3,0,9,0,0,8,0,2
IGHV3-23*04,IGHD3-22*01,IGHJ5*02_F,57,221,1,5,6,3,0,2,8,1
IGHV1-46*02,IGHD3-3*01,IGHJ4*02_F,60,224,2,5,9,1,0,8,10,4
IGHV3-NL1*01,IGHD3-22*01,IGHJ4*02_F,57,221,1,1,3,8,0,11,0,1
IGHV3-23*04,IGHD5-5*01,IGHJ4*02_F,36,200,7,2,3,7,0,7,0,1
IGHV3-NL1*01,IGHD4-17*01,IGHJ3*02_F,57,221,5,0,1,3,0,4,16,1
IGHV3-h*02,IGHD6-19*01,IGHJ6*02_F,36,197,0,9,6,13,1,1,0,1
IGHV3-53*04,IGHD3-10*01,IGHJ6*03_F,57,218,1,3,8,11,0,6,0,4
IGHV3-64*04,IGHD5-5*01,IGHJ3*02_F,57,221,0,0,6,1,0,10,4,1
IGHV3-h*02,IGHD6-19*01,IGHJ4*02_F,45,206,2,5,1,7,0,1,10,1
IGHV3-64*04,IGHD3-22*01,IGHJ4*02_F,57,221,0,6,2,2,0,3,5,1
IGHV3-23*04,IGHD6-19*01,IGHJ4*02_F,57,221,0,6,0,0,0,13,1,1
IGHV3-23*04,IGHD3/OR15-3b*01,IGHJ4*02_F,57,221,4,1,6,5,0,9,5,7
IGHV3-64*04,IGHD2-2*03,IGHJ4*02_F,36,200,3,11,11,5,0,5,2,1
IGHV1-69*13,IGHD6-19*01,IGHJ6*02_F,57,221,0,5,5,6,0,3,6,1
IGHV4-61*06,IGHD5-12*01,IGHJ4*02_F,45,140,4,0,3,6,0,2,5,1
IGHV3-33*02,IGHD3-10*01,IGHJ4*02_F,57,221,1,5,7,0,0,4,7,1
IGHV4-30-4*06,IGHD2-21*02,IGHJ4*02_F,45,140,1,11,3,6,0,0,10,1
IGHV3-NL1*01,IGHD3-9*01,IGHJ4*02_F,57,221,0,5,2,3,0,8,0,1
IGHV3-64*02,IGHD2-2*02,IGHJ3*02_F,57,221,1,0,4,2,0,1,2,1
IGHV4-61*02,IGHD3-16*02,IGHJ3*02_F,45,212,0,17,8,4,0,1,6,1
IGHV3-33*05,IGHD2-2*03,IGHJ5*02_F,57,221,0,13,3,0,0,8,3,1
IGHV3-74*03,IGHD3-10*01,IGHJ4*02_F,36,200,0,8,13,4,0,2,0,1
IGHV3-23*04,IGHD1-26*01,IGHJ4*02_F,57,221,1,0,1,1,0,2,10,1
IGHV3-66*03,IGHD3-16*02,IGHJ6*02_F,57,218,0,13,5,19,0,4,10,1
IGHV3-NL1*01,IGHD2-2*02,IGHJ2*01_F,57,221,2,14,1,0,0,2,8,1
IGHV3-NL1*01,IGHD3-16*02,IGHJ4*02_F,57,221,2,12,11,3,0,17,3,1
IGHV3-33*06,IGHD2-2*03,IGHJ5*02_F,57,221,0,15,0,8,0,5,13,1
IGHV5-51*02,IGHD1-26*01,IGHJ4*02_F,45,209,1,2,5,1,0,2,4,1
IGHV3-64*04,IGHD3-16*02,IGHJ4*02_F,57,221,0,7,15,1,0,14,1,1
IGHV3-NL1*01,IGHD3/OR15-3b*01,IGHJ4*02_F,57,221,1,15,0,12,0,19,7,1
IGHV4-30-4*06,IGHD5-24*01,IGHJ4*02_F,42,137,0,5,5,1,0,0,5,2
IGHV3-64*04,IGHD3-10*01,IGHJ3*02_F,57,221,1,4,3,1,0,1,4,1
IGHV3-64*04,IGHD6-19*01,IGHJ6*02_F,57,221,0,3,0,13,0,1,8,2
IGHV3-53*01,IGHD6-19*01,IGHJ6*02_F,57,218,0,0,1,6,1,1,0,1
IGHV3-64*04,IGHD3-10*01,IGHJ4*02_F,57,221,1,4,0,9,0,5,7,1
IGHV3-64*04,IGHD3-9*01,IGHJ2*01_F,57,221,0,6,6,5,0,0,10,1
IGHV3-64*04,IGHD5/OR15-5b*01,IGHJ4*02_F,57,221,1,0,6,0,0,3,10,1
IGHV3-NL1*01,IGHD2-8*01,IGHJ6*02_F,57,221,0,9,2,6,0,0,0,1
IGHV3-NL1*01,IGHD6-25*01,IGHJ6*03_F,57,221,2,0,3,2,0,2,1,1
IGHV4/OR15-8*03,IGHD4-23*01,IGHJ4*02_F,39,203,1,1,1,7,0,0,2,3
IGHV3-23*04,IGHD3-9*01,IGHJ4*02_F,57,221,1,4,15,0,0,11,7,1
IGHV3-23*04,IGHD2-15*01,IGHJ6*03_F,57,221,0,11,7,0,0,1,0,3
IGHV3-9*02,IGHD2-2*02,IGHJ3*02_F,57,221,0,3,1,3,0,1,0,1
IGHV3-73*02,IGHD6-19*01,IGHJ3*02_F,57,227,0,2,0,0,0,3,5,1
IGHV3-23*04,IGHD2-15*01,IGHJ4*02_F,57,221,1,8,9,4,0,17,3,1
IGHV3-h*01,IGHD2-2*02,IGHJ6*03_F,75,236,0,0,9,2,0,12,0,1
IGHV4-61*02,IGHD3-22*01,IGHJ5*02_F,45,212,0,6,15,7,0,6,5,2
IGHV1-69*05,IGHD6-6*01,IGHJ4*02_F,45,209,1,0,6,0,0,8,0,1
IGHV3-23*04,IGHD5-12*01,IGHJ4*02_F,57,221,3,3,3,1,0,8,8,1
IGHV3-23*04,IGHD4-17*01,IGHJ4*02_F,57,221,4,0,0,2,0,7,12,1
IGHV3-33*02,IGHD1-26*01,IGHJ3*02_F,57,221,1,0,0,0,0,3,5,1
IGHV3-23*04,IGHD1-26*01,IGHJ5*02_F,57,221,0,3,3,12,0,7,17,11
IGHV3-53*91,IGHD3-3*02,IGHJ6*03_F,60,221,3,11,6,0,0,8,0,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ4*02_F,57,221,1,6,5,6,0,10,6,1
IGHV3-23*04,IGHD3-3*02,IGHJ6*03_F,57,221,2,13,2,5,0,0,5,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ4*02_F,57,221,1,4,6,3,0,7,5,1
IGHV4/OR15-8*03,IGHD3-3*01,IGHJ4*02_F,57,221,1,0,7,1,0,4,3,2
IGHV3-73*02,IGHD2-2*02,IGHJ4*02_F,57,227,2,4,2,2,0,3,5,1
IGHV3-73*02,IGHD3-3*01,IGHJ6*03_F,57,227,2,0,11,8,0,4,0,1
IGHV3-NL1*01,IGHD6-19*01,IGHJ6*02_F,57,221,0,3,1,5,0,0,2,1
IGHV3-23*04,IGHD3/OR15-3b*01,IGHJ4*02_F,45,209,0,10,3,10,0,4,5,1
IGHV3-64*04,IGHD3-10*01,IGHJ3*01_F,57,221,1,1,10,3,0,11,0,1
IGHV3-64*04,IGHD3-22*01,IGHJ6*02_F,57,221,1,10,8,0,0,2,0,3
IGHV3-23*04,IGHD3-16*02,IGHJ6*03_F,36,200,1,17,11,18,0,0,3,2
IGHV3-49*05,IGHD3-10*02,IGHJ4*02_F,57,227,3,8,4,4,0,7,11,8
IGHV3-h*02,IGHD2-15*01,IGHJ5*02_F,36,197,0,10,10,13,0,7,0,1
IGHV3-23*04,IGHD3/OR15-3b*01,IGHJ4*02_F,57,221,4,6,6,1,0,14,1,1
IGHV3-64*04,IGHD3-3*01,IGHJ4*02_F,57,221,1,4,7,5,0,4,11,1
IGHV3-23*04,IGHD1-1*01,IGHJ4*02_F,57,221,0,4,1,1,0,16,2,1
IGHV4-39*06,IGHD3-9*01,IGHJ6*02_F,69,236,0,0,10,1,0,6,0,2
IGHV3-7*03,IGHD6-19*01,IGHJ6*02_F,66,230,0,6,2,0,0,10,0,1
IGHV3-23*04,IGHD6-13*01,IGHJ3*02_F,57,221,3,3,0,4,0,13,3,1
IGHV3-23*04,IGHD6-13*01,IGHJ3*02_F,57,221,2,0,0,2,0,3,7,1
IGHV3-66*03,IGHD3-10*01,IGHJ6*02_F,57,218,0,1,12,12,0,8,0,1
IGHV2-5*10,IGHD6-19*01,IGHJ4*02_F,57,224,1,1,1,0,0,7,6,1
IGHV3-33*02,IGHD5-24*01,IGHJ4*02_F,45,209,4,5,3,4,0,11,2,1
IGHV3-33*06,IGHD3-10*01,IGHJ4*02_F,57,221,0,1,9,2,0,10,0,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ5*02_F,57,221,0,1,8,0,0,4,0,3
IGHV3-NL1*01,IGHD3-3*01,IGHJ4*02_F,57,221,1,4,5,6,0,4,10,1
IGHV3-23*04,IGHD6-13*01,IGHJ4*02_F,57,221,1,6,4,1,0,15,5,2
IGHV3-NL1*01,IGHD6-19*01,IGHJ6*02_F,57,221,0,7,4,4,0,5,3,1
IGHV3-30*15,IGHD3-22*01,IGHJ4*02_F,45,209,1,6,8,0,0,1,0,1
IGHV3-NL1*01,IGHD2-15*01,IGHJ4*02_F,57,221,0,3,6,2,0,8,1,1
IGHV5-51*03,IGHD3-9*01,IGHJ6*02_F,42,206,3,11,8,11,1,4,0,1
IGHV3-NL1*01,IGHD4-23*01,IGHJ6*02_F,57,221,0,4,1,7,0,6,1,1
IGHV3-23*04,IGHD3-10*01,IGHJ6*02_F,57,221,0,2,12,12,0,3,6,1
IGHV3-NL1*01,IGHD6-19*01,IGHJ6*03_F,57,221,3,9,2,6,0,13,0,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ4*02_F,57,221,0,0,11,2,0,11,0,1
IGHV3-66*03,IGHD1/OR15-1b*01,IGHJ6*03_F,57,218,3,5,1,0,0,6,0,1
IGHV3-23*04,IGHD3-10*01,IGHJ5*02_F,57,221,1,5,2,8,0,6,5,4
IGHV3-23*04,IGHD3-22*01,IGHJ3*02_F,57,221,1,0,7,0,0,0,4,1
IGHV3-33*06,IGHD3-10*01,IGHJ3*02_F,57,221,2,2,12,1,0,4,9,2
IGHV5-51*02,IGHD3-10*01,IGHJ4*02_F,66,230,1,2,6,5,0,9,12,1
IGHV3-NL1*01,IGHD1-1*01,IGHJ4*02_F,57,221,1,3,0,7,0,5,18,1
IGHV3-23*04,IGHD3-10*01,IGHJ4*02_F,57,221,0,0,14,0,0,9,3,1
IGHV4-59*09,IGHD1-26*01,IGHJ6*02_F,45,133,0,7,7,10,1,6,0,1
IGHV3-h*02,IGHD6-6*01,IGHJ4*02_F,24,185,3,0,13,6,0,0,0,1
IGHV3-15*07,IGHD3-22*01,IGHJ4*02_F,45,215,8,1,5,3,0,3,0,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ4*02_F,57,221,4,1,6,2,0,8,3,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ4*02_F,57,221,1,3,9,1,0,12,0,3
IGHV3-64*04,IGHD1-20*01,IGHJ4*02_F,36,200,0,6,1,2,0,0,0,1
IGHV3-h*02,IGHD2-15*01,IGHJ5*02_F,45,206,2,16,3,5,0,8,1,1
IGHV3-33*05,IGHD3-22*01,IGHJ4*02_F,57,221,0,1,8,0,0,7,0,1
IGHV3-9*02,IGHD3-16*02,IGHJ4*02_F,36,200,1,13,17,5,0,2,3,1
IGHV3-23*04,IGHD3-10*01,IGHJ6*02_F,57,221,0,6,10,3,0,0,2,1
IGHV3-33*06,IGHD2-2*03,IGHJ4*02_F,57,221,1,15,6,0,0,11,9,2
IGHV1-18*01,IGHD6-13*01,IGHJ5*02_F,57,221,0,0,7,0,0,3,9,1
IGHV3-43*91,IGHD3-3*02,IGHJ4*02_F,45,209,0,15,1,1,0,1,0,1
IGHV3-NL1*01,IGHD1-26*01,IGHJ6*02_F,57,221,3,4,1,4,0,5,1,1
IGHV1-f*01,IGHD4-23*01,IGHJ4*02_F,42,206,0,3,0,6,0,4,2,1
IGHV3-h*01,IGHD7-27*01,IGHJ4*02_F,36,197,1,3,0,6,0,3,4,1
IGHV3-7*03,IGHD3-3*01,IGHJ3*02_F,66,230,1,5,14,0,0,11,14,1
IGHV3-NL1*01,IGHD2-21*02,IGHJ4*02_F,57,221,1,7,7,1,0,17,0,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ4*02_F,57,221,0,1,11,2,0,4,8,1
IGHV1-69*10,IGHD6-19*01,IGHJ4*02_F,45,209,4,3,2,0,0,1,4,1
IGHV3-NL1*01,IGHD6-19*01,IGHJ4*02_F,57,221,0,3,0,2,0,7,6,1
IGHV3-NL1*01,IGHD6-19*01,IGHJ6*02_F,57,221,1,4,3,9,0,5,5,1
IGHV3-64*04,IGHD3-3*01,IGHJ4*02_F,57,221,0,6,10,5,0,14,5,1
IGHV3-64*04,IGHD3/OR15-3b*01,IGHJ4*02_F,57,221,1,3,9,0,0,3,8,1
IGHV3-NL1*01,IGHD4-17*01,IGHJ6*02_F,57,221,3,1,3,3,0,5,3,1
IGHV3-64*04,IGHD6-13*01,IGHJ6*03_F,57,221,0,12,0,4,0,4,5,1
IGHV3-33*05,IGHD3-16*02,IGHJ6*03_F,45,209,0,14,16,5,0,0,0,1
IGHV3-15*07,IGHD2-2*03,IGHJ4*02_F,57,227,1,7,6,0,0,8,4,2
IGHV3-NL1*01,IGHD2-2*03,IGHJ3*01_F,57,221,0,4,11,0,1,12,0,1
IGHV3-NL1*01,IGHD3-16*02,IGHJ6*03_F,57,221,1,19,8,1,0,0,6,1
IGHV3-30*15,IGHD3-3*01,IGHJ6*04_F,57,221,4,0,6,17,0,7,3,1
IGHV1-18*01,IGHD1-7*01,IGHJ4*02_F,51,215,0,7,0,0,0,9,4,1
IGHV3-64*04,IGHD3-10*01,IGHJ3*02_F,57,221,3,9,9,3,0,6,14,1
IGHV3-33*06,IGHD5-24*01,IGHJ1*01_F,45,209,2,2,7,8,0,3,9,1
IGHV3-23*04,IGHD2-21*01,IGHJ4*02_F,57,221,0,1,6,5,0,7,6,1
IGHV3-23*04,IGHD2-21*02,IGHJ4*02_F,45,209,0,8,9,4,0,8,2,2
IGHV3-23*04,IGHD2-2*03,IGHJ6*02_F,57,221,1,1,10,10,0,5,0,4
IGHV3-23*04,IGHD3-16*02,IGHJ6*03_F,57,221,1,7,15,17,0,4,13,1
IGHV3-NL1*01,IGHD5-5*01,IGHJ4*02_F,57,221,1,3,1,1,0,7,8,2
IGHV3-64*04,IGHD3-22*01,IGHJ4*02_F,57,221,0,2,2,2,0,2,2,2
IGHV1-69*13,IGHD3/OR15-3b*01,IGHJ5*02_F,57,221,1,3,4,10,0,13,0,1
IGHV3-64*04,IGHD3-22*01,IGHJ2*01_F,57,221,0,15,6,0,0,11,3,10
IGHV3-NL1*01,IGHD1-26*01,IGHJ4*02_F,57,221,0,1,0,5,0,9,6,1
IGHV3-66*03,IGHD3-22*01,IGHJ4*02_F,57,218,1,1,13,0,0,5,8,1
IGHV3-30*13,IGHD2-2*03,IGHJ4*02_F,57,221,0,11,2,5,0,12,4,1
IGHV3-NL1*01,IGHD6-19*01,IGHJ6*03_F,57,221,0,0,6,2,0,1,0,1
IGHV3-NL1*01,IGHD2-21*02,IGHJ1*01_F,57,221,1,8,4,0,0,2,8,1
IGHV3-64*04,IGHD3-22*01,IGHJ4*02_F,57,221,2,2,5,1,0,4,4,1
IGHV3-h*01,IGHD2-8*02,IGHJ4*02_F,45,206,2,7,13,1,0,8,1,3
IGHV3-66*03,IGHD3-10*01,IGHJ4*02_F,57,218,0,1,9,2,0,10,0,2
IGHV3-NL1*01,IGHD5-5*01,IGHJ4*02_F,57,221,4,0,2,4,0,9,10,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ6*02_F,57,221,0,5,11,13,0,11,1,1
IGHV3-64*04,IGHD3-22*01,IGHJ3*02_F,57,221,0,9,6,0,0,6,5,4
IGHV3-30*13,IGHD5/OR15-5b*01,IGHJ4*02_F,57,221,1,1,6,7,0,10,11,1
IGHV1-2*03,IGHD3-16*01,IGHJ6*03_F,75,239,0,16,8,0,0,0,19,2
IGHV4/OR15-8*03,IGHD3/OR15-3b*01,IGHJ4*02_F,45,209,1,18,2,5,0,10,2,1
IGHV3-53*02,IGHD1/OR15-1b*01,IGHJ4*02_F,45,206,2,8,0,8,0,0,20,1
IGHV3-74*03,IGHD3-10*02,IGHJ3*02_F,45,209,0,11,7,0,0,3,0,1
IGHV3-h*02,IGHD6-19*01,IGHJ4*02_F,45,206,3,4,1,8,0,5,7,2
IGHV3-23*04,IGHD5-24*01,IGHJ4*02_F,57,221,0,6,1,5,0,4,17,1
IGHV3-23*04,IGHD3-10*01,IGHJ3*02_F,57,221,0,7,7,0,0,10,0,2
IGHV1-69*05,IGHD3-10*01,IGHJ3*02_F,45,209,1,9,10,0,0,6,0,1
IGHV3-9*02,IGHD6-19*01,IGHJ4*02_F,57,221,0,3,0,0,0,2,7,1
IGHV3-23*04,IGHD3-22*01,IGHJ4*02_F,57,221,1,1,9,2,0,11,0,1
IGHV3-23*04,IGHD3-3*01,IGHJ6*03_F,57,221,0,0,11,17,0,0,11,1
IGHV3-49*05,IGHD3-22*01,IGHJ4*02_F,57,227,6,2,9,5,0,14,6,1
IGHV3-64*04,IGHD5-24*01,IGHJ4*02_F,57,221,0,3,4,2,0,4,14,1
IGHV4-30-4*06,IGHD3-10*02,IGHJ3*02_F,48,143,2,11,4,1,0,3,3,9
IGHV1/OR21-1*01,IGHD2-2*03,IGHJ4*02_F,57,221,1,2,9,2,0,12,0,1
IGHV3-64*04,IGHD6-19*01,IGHJ4*02_F,57,221,0,0,3,6,0,0,17,1
IGHV3-74*03,IGHD3-16*02,IGHJ4*02_F,36,200,1,19,6,5,0,2,0,1
IGHV5-51*02,IGHD3-10*01,IGHJ5*02_F,75,239,1,1,6,5,0,26,0,1
IGHV3-64*04,IGHD5-24*01,IGHJ4*02_F,57,221,0,1,1,4,0,10,5,1
IGHV1-69*13,IGHD6-6*01,IGHJ4*02_F,51,215,1,0,0,3,0,5,4,1
IGHV3-23*04,IGHD3-3*01,IGHJ3*02_F,57,221,2,5,6,0,0,9,0,1
IGHV3-33*06,IGHD3-16*02,IGHJ5*02_F,57,221,0,2,15,4,0,2,8,14
IGHV3-23*04,IGHD6-13*01,IGHJ4*02_F,57,221,0,0,0,5,0,6,7,1
IGHV3-23*04,IGHD1-7*01,IGHJ6*03_F,57,221,0,5,0,1,0,2,1,1
IGHV3-64*04,IGHD2-15*01,IGHJ4*02_F,57,221,3,5,5,4,0,5,10,1
IGHV3-30*15,IGHD3-10*02,IGHJ1*01_F,45,209,0,13,8,0,0,3,1,4
IGHV3-NL1*01,IGHD3-22*01,IGHJ4*02_F,57,221,6,4,9,5,0,22,0,1
IGHV3-64*04,IGHD1-7*01,IGHJ4*02_F,45,209,0,8,0,1,0,2,7,2
IGHV3-66*03,IGHD6-19*01,IGHJ4*02_F,57,218,0,4,3,0,0,11,4,1
IGHV3-64*04,IGHD2-2*03,IGHJ2*01_F,57,221,0,9,0,2,0,0,4,2
IGHV3-23*04,IGHD3-10*01,IGHJ4*02_F,57,221,0,6,0,7,0,8,3,1
IGHV3-23*04,IGHD6-19*01,IGHJ4*02_F,57,221,1,2,0,0,0,6,5,3
IGHV3-NL1*01,IGHD2-21*02,IGHJ4*02_F,57,221,0,13,1,0,0,9,6,5
IGHV3-64*04,IGHD3/OR15-3b*01,IGHJ6*03_F,57,221,1,6,12,11,0,13,0,1
IGHV3-49*05,IGHD3-10*01,IGHJ4*02_F,57,227,1,8,6,2,0,15,0,1
IGHV3-64*04,IGHD2-2*03,IGHJ4*02_F,57,221,0,1,0,2,0,0,1,1
IGHV3-NL1*01,IGHD6-13*01,IGHJ4*02_F,57,221,3,0,0,3,0,12,2,1
IGHV4-61*07,IGHD2-15*01,IGHJ6*02_F,69,164,1,6,3,6,0,4,7,1
IGHV3-48*02,IGHD3-16*02,IGHJ4*02_F,57,221,1,13,13,0,0,18,1,2
IGHV3-NL1*01,IGHD2-2*03,IGHJ5*02_F,57,221,1,9,2,2,0,0,9,1
IGHV3-23*04,IGHD1-7*01,IGHJ3*02_F,57,221,0,2,2,1,0,6,9,1
IGHV1-46*02,IGHD1-26*01,IGHJ5*02_F,57,221,0,2,3,4,0,10,5,1
IGHV3-NL1*01,IGHD6-6*01,IGHJ6*03_F,45,209,0,2,2,17,0,5,0,1
IGHV3-23*04,IGHD3-3*02,IGHJ4*02_F,57,221,1,1,4,10,0,2,12,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ4*02_F,57,221,1,14,6,0,0,11,8,2
IGHV3-NL1*01,IGHD2-15*01,IGHJ4*02_F,45,209,0,6,1,7,0,0,0,1
IGHV3-23*04,IGHD5-24*01,IGHJ6*02_F,57,221,2,5,1,6,0,5,3,2
IGHV3-23*04,IGHD2-8*01,IGHJ2*01_F,57,221,0,4,15,4,0,10,6,1
IGHV1-69*05,IGHD3-10*02,IGHJ6*03_F,45,209,1,9,10,6,0,0,0,1
IGHV4/OR15-8*03,IGHD3-3*01,IGHJ6*03_F,69,233,0,0,14,3,0,6,6,1
IGHV3-h*02,IGHD2-21*02,IGHJ4*02_F,57,218,1,3,3,0,0,4,4,1
IGHV3-64*04,IGHD3-10*01,IGHJ4*02_F,57,221,1,0,12,0,0,11,0,1
IGHV4-61*03,IGHD3-10*01,IGHJ4*02_F,48,215,2,0,12,4,0,4,3,1
IGHV4-61*02,IGHD1-26*01,IGHJ6*03_F,45,212,0,6,7,10,0,5,0,1
IGHV3-NL1*01,IGHD7-27*01,IGHJ4*02_F,57,221,1,1,0,8,0,18,10,1
IGHV3-23*04,IGHD3-16*02,IGHJ4*02_F,45,209,1,17,0,4,0,2,0,1
IGHV3-30*13,IGHD2-15*01,IGHJ4*02_F,57,221,0,1,2,6,0,1,6,1
IGHV3-30*15,IGHD2-8*01,IGHJ1*01_F,57,221,0,10,14,2,0,10,10,1
IGHV3-NL1*01,IGHD5-12*01,IGHJ6*02_F,57,221,0,8,1,7,0,5,2,1
IGHV3-33*02,IGHD3-3*01,IGHJ6*02_F,72,236,0,4,14,4,0,14,6,1
IGHV3-h*02,IGHD2-21*02,IGHJ2*01_F,66,227,1,1,5,0,0,4,8,1
IGHV4-61*08,IGHD3-3*02,IGHJ4*02_F,45,212,0,3,12,2,0,3,0,1
IGHV3-64*04,IGHD3-22*01,IGHJ5*02_F,57,221,0,2,3,11,0,5,6,1
IGHV3-64*04,IGHD2-21*01,IGHJ4*02_F,57,221,0,1,1,6,0,7,2,1
IGHV3-71*03,IGHD3-22*01,IGHJ1*01_F,57,227,0,5,12,2,1,14,0,1
IGHV3-NL1*01,IGHD3-9*01,IGHJ4*02_F,57,221,0,0,10,6,0,12,2,1
IGHV3-NL1*01,IGHD3-9*01,IGHJ4*02_F,57,221,0,21,0,0,0,9,10,1
IGHV3-30*13,IGHD3-10*01,IGHJ5*02_F,57,221,2,2,10,10,0,12,7,1
IGHV3-23*04,IGHD3-16*02,IGHJ2*01_F,45,209,2,10,13,3,0,3,0,1
IGHV3-9*02,IGHD3-9*01,IGHJ4*02_F,45,209,2,7,6,12,0,7,4,1
IGHV3-23*04,IGHD6-25*01,IGHJ6*02_F,57,221,0,1,4,3,0,1,3,1
IGHV3-23*04,IGHD6-19*01,IGHJ5*02_F,57,221,3,7,0,0,0,4,11,1
IGHV1-8*91,IGHD3-22*01,IGHJ4*02_F,60,224,0,1,5,0,0,7,0,1
IGHV3-23*04,IGHD3-22*01,IGHJ4*02_F,57,221,1,1,5,0,0,5,0,11
IGHV3-NL1*01,IGHD3-16*01,IGHJ6*02_F,57,221,0,29,1,0,0,0,7,1
IGHV1-3*01,IGHD3-10*01,IGHJ4*02_F,45,209,1,7,7,7,0,2,6,1
IGHV3-53*01,IGHD6-25*01,IGHJ4*02_F,57,218,1,10,0,0,0,0,22,1
IGHV3-64*04,IGHD3-3*01,IGHJ4*02_F,57,221,2,0,10,8,0,16,2,1
IGHV3-23*04,IGHD6-13*01,IGHJ4*02_F,57,221,1,3,1,1,0,4,10,2
IGHV3-23*04,IGHD2-2*03,IGHJ4*02_F,57,221,5,14,2,0,0,12,7,2
IGHV3-23*04,IGHD6-13*01,IGHJ3*02_F,57,221,2,5,1,1,0,8,7,1
IGHV3-74*03,IGHD2-21*01,IGHJ4*02_F,57,221,0,2,1,11,0,8,7,1
IGHV3-23*04,IGHD2-15*01,IGHJ4*02_F,57,221,2,16,1,5,0,8,14,1
IGHV3-NL1*01,IGHD6-19*01,IGHJ4*02_F,57,221,0,9,2,0,0,19,0,1
IGHV3-33*06,IGHD2-15*01,IGHJ6*02_F,57,221,4,1,9,7,1,5,0,1
IGHV3-64*04,IGHD5-5*01,IGHJ3*02_F,57,221,0,4,4,1,0,9,7,2
IGHV3-72*01,IGHD3-3*01,IGHJ6*03_F,69,239,1,0,11,0,0,7,0,3
IGHV3-53*01,IGHD3-10*01,IGHJ2*01_F,57,218,0,3,8,0,0,3,1,1
IGHV3-h*01,IGHD3-10*01,IGHJ5*02_F,66,227,0,4,1,0,0,4,5,1
IGHV3-66*03,IGHD3-10*02,IGHJ4*02_F,45,206,1,6,9,0,0,3,0,1
IGHV3-23*04,IGHD6-6*01,IGHJ4*02_F,57,221,0,0,1,0,0,1,11,1
