gene,functionality
IGHV3-25*05,P
IGHV3-29*01,P
IGHV3-30*01,F
IGHV3-30*02,F
IGHV3-30*03,F
IGHV3-30*04,F
IGHV3-30*05,F
IGHV3-30*06,F
IGHV3-30*07,F
IGHV3-30*08,F
IGHV3-30*09,F
IGHV3-30*10,F
IGHV3-30*11,F
IGHV3-30*12,F
IGHV3-30*13,F
IGHV3-30*14,F
IGHV3-30*15,F
IGHV3-30*16,F
IGHV3-30*17,F
IGHV3-30*18,F
IGHV3-30*19,F
IGHV3-30-2*01,P
IGHV3-30-22*01,P
IGHV3-30-3*01,F
IGHV3-30-3*02,F
IGHV3-30-33*01,P
IGHV3-30-52*01,P
IGHV3-32*01,P
IGHV3-33*01,F
IGHV3-33*02,F
IGHV3-33*03,F
IGHV3-33*04,F
IGHV3-33*05,F
IGHV3-33*06,F
IGHV3-33-2*01,P
IGHV3-35*01,ORF
IGHV3-38*01,ORF
IGHV3-38*02,ORF
IGHV3-38*03,ORF
IGHV3-38-3*01,ORF
IGHV3-43*01,F
IGHV3-43*02,F
IGHV3-43D*01,F
IGHV3-47*01,P
IGHV3-47*02,P
IGHV3-48*01,F
IGHV3-48*02,F
IGHV3-48*03,F
IGHV3-48*04,F
IGHV3-49*01,F
IGHV3-49*02,F
IGHV3-49*03,F
IGHV3-49*04,F
IGHV3-49*05,F
IGHV3-52*01,P
IGHV3-52*02,P
IGHV3-52*03,P
IGHV3-53*01,F
IGHV3-53*02,F
IGHV3-53*03,F
IGHV3-53*04,F
IGHV3-54*01,P
IGHV3-54*02,P
IGHV3-54*04,P
IGHV3-62*01,P
IGHV3-63*01,P
IGHV3-63*02,P
IGHV3-64*01,F
IGHV3-64*02,F
IGHV3-64*03,F
IGHV3-64*04,F
IGHV3-64*05,F
IGHV3-64D*06,F
IGHV3-66*01,F
IGHV3-66*02,F
IGHV3-66*03,F
IGHV3-66*04,F
IGHV3-69-1*01,P
IGHV3-69-1*02,P
IGHV3-7*01,F
IGHV3-7*02,F
IGHV3-7*03,F
IGHV3-71*01,P
IGHV3-71*02,P
IGHV3-71*03,P
IGHV3-72*01,F
IGHV3-72*02,F
IGHV3-73*01,F
IGHV3-73*02,F
IGHV3-74*01,F
IGHV3-74*02,F
IGHV3-74*03,F
IGHV3-9*01,F
IGHV3-9*02,F
IGHV3-9*03,F
IGHV3-NL1*01,F
IGHV3/OR15-7*01,ORF
IGHV3/OR15-7*02,ORF
IGHV3/OR15-7*03,ORF
IGHV3/OR15-7*05,ORF
IGHV3/OR16-10*01,ORF
IGHV3/OR16-10*02,ORF
IGHV3/OR16-10*03,ORF
IGHV3/OR16-12*01,ORF
IGHV3/OR16-13*01,ORF
IGHV3/OR16-14*01,P
IGHV3/OR16-15*01,P
IGHV3/OR16-15*02,P
IGHV3/OR16-16*01,P
IGHV3/OR16-6*02,ORF
IGHV3/OR16-8*01,ORF
IGHV3/OR16-8*02,ORF
IGHV3/OR16-9*01,ORF
IGHV4-28*01,F
IGHV4-28*02,F
IGHV4-28*03,F
IGHV4-28*04,F
IGHV4-28*05,F
IGHV4-28*06,F
IGHV4-28*07,F
IGHV4-30-2*01,F
IGHV4-30-2*02,F
IGHV4-30-2*03,F
IGHV4-30-2*04,F
IGHV4-30-2*05,F
IGHV4-30-2*06,F
IGHV4-30-4*01,F
IGHV4-30-4*02,F
IGHV4-30-4*03,F
IGHV4-30-4*04,F
IGHV4-30-4*05,F
IGHV4-30-4*06,F
IGHV4-30-4*07,F
IGHV4-31*01,F
IGHV4-31*02,F
IGHV4-31*03,F
IGHV4-31*04,F
IGHV4-31*05,F
IGHV4-31*06,F
IGHV4-31*07,F
IGHV4-31*08,F
IGHV4-31*09,F
IGHV4-31*10,F
IGHV4-34*01,F
IGHV4-34*02,F
IGHV4-34*03,F
IGHV4-34*04,F
IGHV4-34*05,F
IGHV4-34*06,F
IGHV4-34*07,F
IGHV4-34*08,F
IGHV4-34*09,F
IGHV4-34*10,F
IGHV4-34*11,F
IGHV4-34*12,F
IGHV4-34*13,F
IGHV4-38-2*01,F
IGHV4-38-2*02,F
IGHV4-39*01,F
IGHV4-39*02,F
IGHV4-39*03,F
IGHV4-39*04,F
IGHV4-39*05,F
IGHV4-39*06,F
IGHV4-39*07,F
IGHV4-4*01,F
IGHV4-4*02,F
IGHV4-4*03,F
IGHV4-4*04,F
IGHV4-4*05,F
IGHV4-4*06,F
IGHV4-4*07,F
IGHV4-4*08,F
IGHV4-55*01,P
IGHV4-55*02,P
IGHV4-55*03,P
IGHV4-55*04,P
IGHV4-55*05,P
IGHV4-55*06,P
IGHV4-55*07,P
IGHV4-55*08,P
IGHV4-55*09,P
IGHV4-59*01,F
IGHV4-59*02,F
IGHV4-59*03,F
IGHV4-59*04,F
IGHV4-59*05,F
IGHV4-59*06,F
IGHV4-59*07,F
IGHV4-59*08,F
IGHV4-59*09,F
IGHV4-59*10,F
IGHV4-61*01,F
IGHV4-61*02,F
IGHV4-61*03,F
IGHV4-61*04,F
IGHV4-61*05,F
IGHV4-61*06,ORF
IGHV4-61*07,F
IGHV4-61*08,F
IGHV4/OR15-8*01,ORF
IGHV4/OR15-8*02,ORF
IGHV4/OR15-8*03,ORF
IGHV5-10-1*01,F
IGHV5-10-1*02,F
IGHV5-10-1*03,F
IGHV5-10-1*04,F
IGHV5-51*01,F
IGHV5-51*02,F
IGHV5-51*03,F
IGHV5-51*04,F
IGHV5-51*05,F
IGHV5-78*01,P
IGHV6-1*01,F
IGHV6-1*02,F
IGHV7-34-1*01,P
IGHV7-34-1*02,P
IGHV7-4-1*01,F
IGHV7-4-1*02,F
IGHV7-4-1*03,F
IGHV7-4-1*04,F
IGHV7-4-1*05,F
IGHV7-40*03,P
IGHV7-81*01,ORF
IGHD1-1*01,F
IGHD1-14*01,ORF
IGHD1-20*01,F
IGHD1-26*01,F
IGHD1-7*01,F
IGHD1/OR15-1a*01,ORF
IGHD2-15*01,F
IGHD2-2*01,F
IGHD2-2*02,F
IGHD2-2*03,F
IGHD2-21*01,F
IGHD2-21*02,F
IGHD2-8*01,F
IGHD2-8*02,F
IGHD2/OR15-2a*01,ORF
IGHD3-10*01,F
IGHD3-10*02,F
IGHD3-16*01,F
IGHD3-16*02,F
IGHD3-22*01,F
IGHD3-3*01,F
IGHD3-3*02,F
IGHD3-9*01,F
IGHD3/OR15-3a*01,ORF
IGHD4-11*01,ORF
IGHD4-17*01,F
IGHD4-23*01,ORF
IGHD4/OR15-4a*01,ORF
IGHD5-12*01,F
IGHD5-18*01,F
IGHD5-24*01,ORF
IGHD5/OR15-5a*01,ORF
IGHD6-13*01,F
IGHD6-19*01,F
IGHD6-25*01,F
IGHD6-6*01,F
IGHD7-27*01,F
IGHJ1*01,F
IGHJ2*01,F
IGHJ3*01,F
IGHJ3*02,F
IGHJ4*01,F
IGHJ4*02,F
IGHJ4*03,F
IGHJ5*01,F
IGHJ5*02,F
IGHJ6*01,F
IGHJ6*02,F
IGHJ6*03,F
IGHJ6*04,F
